child_dgroup_id,parent_type,parent_id,parent_label,child_name
DG01791,dgroup,DG01649,Class Ia antiarrhythmic agent,Hydroquinidine
DG01793,dgroup,DG01918,Tyrosine kinase inhibitor,Dacomitinib
DG01793,dgroup,DG01917,Receptor tyrosine kinase inhibitor,Dacomitinib
DG01793,dgroup,DG03162,EGFR inhibitor,Dacomitinib
DG01793,dgroup,DG01645,CYP2D6 inhibitor,Dacomitinib
DG01794,dgroup,DG02044,Hypoglycemic agent,SGLT2 inhibitor
DG01795,dgroup,DG01685,Insulin sensitizer,PPAR gamma agonist
DG01796,dgroup,DG01636,Insulin preparation,"Insulin analog, fast-acting"
DG01797,dgroup,DG01636,Insulin preparation,"Insulin analog, long-acting"
DG01802,dgroup,DG01636,Insulin preparation,Human insulin
DG01804,root,Antibacterial,Antibacterial,Oxyimino beta-lactam
DG01805,root,Anti-allergic agent,Anti-allergic agent,Mediator release inhibitor
DG01806,dgroup,DG01653,Antiarrhythmics,Class II antiarrhythmic agent
DG01807,dgroup,DG01653,Antiarrhythmics,Phenylalkylamine derivative
DG01808,dgroup,DG01950,Antithrombotic agent,Thienopyridine
DG01808,dgroup,DG01712,Antiplatelet agent,Thienopyridine
DG01808,dgroup,DG01809,P2Y12 receptor antagonist,Thienopyridine
DG01809,root,Blood modifier agent,Blood modifier agent,P2Y12 receptor antagonist
DG01810,dgroup,DG01961,Prostaglandin derivative,Prostacycline derivative
DG01811,root,Blood modifier agent,Blood modifier agent,Fibrinogen receptor antagonist
DG01812,dgroup,DG01710,beta-Lactam antibiotic,Sanfetrinem
DG01813,root,Antibacterial,Antibacterial,Pleuromutilin
DG01815,dgroup,DG03198,Anti-HCV agent,Danoprevir
DG01815,dgroup,DG02001,HCV NS3/4A protease inhibitor,Danoprevir
DG01816,dgroup,DG03198,Anti-HCV agent,Deldeprevir
DG01816,dgroup,DG02001,HCV NS3/4A protease inhibitor,Deldeprevir
DG01818,dgroup,DG03198,Anti-HCV agent,Ledipasvir
DG01818,dgroup,DG01999,HCV NS5A inhibitor,Ledipasvir
DG01819,dgroup,DG03198,Anti-HCV agent,Ombitasvir
DG01819,dgroup,DG01999,HCV NS5A inhibitor,Ombitasvir
DG01820,dgroup,DG03198,Anti-HCV agent,Paritaprevir
DG01820,dgroup,DG02001,HCV NS3/4A protease inhibitor,Paritaprevir
DG01823,dgroup,DG03139,PI3K inhibitor,Buparlisib
DG01824,dgroup,DG03198,Anti-HCV agent,Beclabuvir
DG01824,dgroup,DG02000,HCV NS5B polymerase inhibitor,Beclabuvir
DG01825,dgroup,DG03137,MEK inhibitor,Cobimetinib
DG01826,dgroup,DG03139,PI3K inhibitor,Dactolisib
DG01827,dgroup,DG01918,Tyrosine kinase inhibitor,Defactinib
DG01828,dgroup,DG03198,Anti-HCV agent,Deleobuvir
DG01828,dgroup,DG02000,HCV NS5B polymerase inhibitor,Deleobuvir
DG01829,dgroup,DG01498,NMDA receptor antagonist,Esketamine
DG01829,dgroup,DG02919,CYP2B6 substrate,Esketamine
DG01829,dgroup,DG01642,CYP2C9 substrate,Esketamine
DG01829,dgroup,DG01639,CYP2C19 substrate,Esketamine
DG01829,dgroup,DG01633,CYP3A/CYP3A4 substrate,Esketamine
DG01829,dgroup,DG02913,CYP3A4 substrate,Esketamine
DG01829,dgroup,DG02924,UGT substrate,Esketamine
DG01830,dgroup,DG01586,Opioid receptor antagonist,Methylsamidorphan
DG01831,dgroup,DG03138,CDK inhibitor,Palbociclib
DG01833,dgroup,DG01447,Aminoglycoside antibiotic,Plazomicin
DG01835,root,Neuropsychiatric agent,Neuropsychiatric agent,Benzodiazepine sedative-hypnotics
DG01836,root,Neuropsychiatric agent,Neuropsychiatric agent,Non-benzodiazepine sedative-hypnotics
DG01837,root,Neuropsychiatric agent,Neuropsychiatric agent,Barbiturate sedative-hypnotics
DG01838,dgroup,DG01946,Hypolipidemic agent,Pitavastatin
DG01838,dgroup,DG01660,HMG-CoA reductase inhibitor,Pitavastatin
