source_type,source_id,target_type,target_id,field
dgroup,DG00060,dgroup,DG02913,CLASS
dgroup,DG00061,drug,D04370,MEMBER
dgroup,DG00061,drug,D00677,MEMBER
dgroup,DG00061,dgroup,DG01489,CLASS
dgroup,DG00061,dgroup,DG01762,CLASS
dgroup,DG00061,dgroup,DG01891,CLASS
dgroup,DG00061,dgroup,DG01633,CLASS
dgroup,DG00061,dgroup,DG02913,CLASS
dgroup,DG00062,drug,D02130,MEMBER
dgroup,DG00062,drug,D02041,MEMBER
dgroup,DG00062,dgroup,DG01489,CLASS
dgroup,DG00062,dgroup,DG01762,CLASS
dgroup,DG00063,drug,D07867,MEMBER
dgroup,DG00063,drug,D00725,MEMBER
dgroup,DG00063,dgroup,DG01489,CLASS
dgroup,DG00063,dgroup,DG01762,CLASS
dgroup,DG00063,dgroup,DG01644,CLASS
dgroup,DG00063,dgroup,DG01633,CLASS
dgroup,DG00064,drug,D07175,MEMBER
dgroup,DG00064,drug,D05343,MEMBER
dgroup,DG00064,dgroup,DG01489,CLASS
dgroup,DG00064,dgroup,DG01762,CLASS
dgroup,DG00064,dgroup,DG01892,CLASS
dgroup,DG00064,dgroup,DG01644,CLASS
dgroup,DG00064,dgroup,DG01633,CLASS
dgroup,DG00064,dgroup,DG02913,CLASS
dgroup,DG00065,drug,D00138,MEMBER
dgroup,DG00065,drug,D02071,MEMBER
dgroup,DG00065,dgroup,DG01491,CLASS
dgroup,DG00065,dgroup,DG01762,CLASS
dgroup,DG00066,drug,D02968,MEMBER
dgroup,DG00066,drug,D10895,MEMBER
dgroup,DG00066,drug,D06597,MEMBER
dgroup,DG00066,dgroup,DG01762,CLASS
dgroup,DG00066,dgroup,DG01633,CLASS
dgroup,DG00066,dgroup,DG02913,CLASS
dgroup,DG00066,dgroup,DG02852,CLASS
dgroup,DG00066,dgroup,DG01522,CLASS
dgroup,DG00066,dgroup,DG02886,CLASS
dgroup,DG00066,dgroup,DG02853,CLASS
dgroup,DG00066,dgroup,DG01635,CLASS
dgroup,DG00067,drug,D05042,MEMBER
dgroup,DG00067,drug,D05043,MEMBER
dgroup,DG00068,drug,D08326,MEMBER
dgroup,DG00068,drug,D05320,MEMBER
dgroup,DG00068,dgroup,DG01770,CLASS
dgroup,DG00069,drug,D00245,MEMBER
dgroup,DG00069,drug,D03129,MEMBER
dgroup,DG00069,dgroup,DG01770,CLASS
dgroup,DG00070,drug,D05456,MEMBER
dgroup,DG00070,drug,D06516,MEMBER
dgroup,DG00070,dgroup,DG01770,CLASS
dgroup,DG00071,drug,D06462,MEMBER
dgroup,DG00071,drug,D03418,MEMBER
dgroup,DG00071,dgroup,DG01770,CLASS
dgroup,DG00072,drug,D01612,MEMBER
dgroup,DG00072,dgroup,DG01770,CLASS
dgroup,DG00073,drug,D07531,MEMBER
dgroup,DG00073,drug,D01191,MEMBER
dgroup,DG00074,drug,D08266,MEMBER
dgroup,DG00074,drug,D02039,MEMBER
dgroup,DG00075,drug,D01732,MEMBER
dgroup,DG00075,drug,D05877,MEMBER
dgroup,DG00075,dgroup,DG01770,CLASS
dgroup,DG00076,drug,D03370,MEMBER
dgroup,DG00076,drug,D06418,MEMBER
dgroup,DG00076,drug,D06419,MEMBER
dgroup,DG00076,drug,D06420,MEMBER
dgroup,DG00076,drug,D06421,MEMBER
dgroup,DG00076,drug,D06423,MEMBER
dgroup,DG00076,drug,D01542,MEMBER
dgroup,DG00076,drug,D06451,MEMBER
dgroup,DG00077,drug,D06389,MEMBER
dgroup,DG00077,drug,D05869,MEMBER
dgroup,DG00077,drug,D09000,MEMBER
dgroup,DG00078,drug,D10479,MEMBER
dgroup,DG00078,drug,D10375,MEMBER
dgroup,DG00078,dgroup,DG01586,CLASS
dgroup,DG00078,dgroup,DG01770,CLASS
dgroup,DG00078,dgroup,DG01633,CLASS
dgroup,DG00079,drug,D09355,MEMBER
dgroup,DG00079,drug,D06612,MEMBER
dgroup,DG00079,dgroup,DG01770,CLASS
dgroup,DG00080,drug,D09205,MEMBER
dgroup,DG00080,drug,D10152,MEMBER
dgroup,DG00080,dgroup,DG01770,CLASS
dgroup,DG00081,drug,D06056,MEMBER
dgroup,DG00081,drug,D02730,MEMBER
dgroup,DG00081,dgroup,DG02924,CLASS
dgroup,DG00082,drug,D08531,MEMBER
dgroup,DG00082,drug,D01350,MEMBER
dgroup,DG00082,dgroup,DG01447,CLASS
dgroup,DG00082,dgroup,DG01966,CLASS
dgroup,DG00083,drug,D08401,MEMBER
dgroup,DG00083,drug,D01066,MEMBER
dgroup,DG00083,dgroup,DG01579,CLASS
dgroup,DG00084,drug,D07467,MEMBER
dgroup,DG00084,drug,D00868,MEMBER
dgroup,DG00084,dgroup,DG01447,CLASS
dgroup,DG00085,drug,D00866,MEMBER
dgroup,DG00085,drug,D03262,MEMBER
dgroup,DG00085,dgroup,DG01447,CLASS
dgroup,DG00085,dgroup,DG01966,CLASS
dgroup,DG00086,drug,D00212,MEMBER
dgroup,DG00086,drug,D00926,MEMBER
dgroup,DG00086,dgroup,DG01580,CLASS
dgroup,DG00087,drug,D07746,MEMBER
dgroup,DG00087,drug,D02049,MEMBER
dgroup,DG00087,drug,D02138,MEMBER
dgroup,DG00087,dgroup,DG01579,CLASS
dgroup,DG00088,drug,D07060,MEMBER
dgroup,DG00088,drug,D02447,MEMBER
dgroup,DG00088,dgroup,DG01787,CLASS
dgroup,DG00088,dgroup,DG01784,CLASS
dgroup,DG00089,drug,D07584,MEMBER
dgroup,DG00089,drug,D03045,MEMBER
dgroup,DG00090,drug,D07861,MEMBER
dgroup,DG00090,drug,D03860,MEMBER
dgroup,DG00090,dgroup,DG01564,CLASS
dgroup,DG00090,dgroup,DG01563,CLASS
dgroup,DG00091,drug,D03444,MEMBER
dgroup,DG00091,drug,D06499,MEMBER
dgroup,DG00091,dgroup,DG01984,CLASS
dgroup,DG00092,drug,D08144,MEMBER
dgroup,DG00092,drug,D00729,MEMBER
dgroup,DG00092,drug,D07113,MEMBER
dgroup,DG00092,dgroup,DG01564,CLASS
dgroup,DG00092,dgroup,DG02918,CLASS
dgroup,DG00092,dgroup,DG01633,CLASS
dgroup,DG00092,dgroup,DG02913,CLASS
dgroup,DG00092,dgroup,DG01665,CLASS
dgroup,DG00093,drug,D00472,MEMBER
dgroup,DG00093,drug,D00980,MEMBER
dgroup,DG00093,drug,D00981,MEMBER
dgroup,DG00093,drug,D00982,MEMBER
dgroup,DG00093,drug,D01239,MEMBER
dgroup,DG00093,drug,D01998,MEMBER
dgroup,DG00093,drug,D02156,MEMBER
dgroup,DG00093,drug,D03301,MEMBER
dgroup,DG00093,drug,D08412,MEMBER
dgroup,DG00093,drug,D08413,MEMBER
dgroup,DG00093,drug,D08414,MEMBER
dgroup,DG00093,drug,D08415,MEMBER
dgroup,DG00093,dgroup,DG01955,CLASS
dgroup,DG00093,dgroup,DG02068,CLASS
dgroup,DG00094,drug,D00473,MEMBER
dgroup,DG00094,drug,D08416,MEMBER
dgroup,DG00094,dgroup,DG01955,CLASS
dgroup,DG00094,dgroup,DG02068,CLASS
dgroup,DG00095,drug,D00244,MEMBER
dgroup,DG00095,drug,D00972,MEMBER
dgroup,DG00095,drug,D01357,MEMBER
dgroup,DG00095,drug,D01402,MEMBER
dgroup,DG00095,drug,D01637,MEMBER
dgroup,DG00095,drug,D02032,MEMBER
dgroup,DG00095,drug,D02286,MEMBER
dgroup,DG00095,dgroup,DG01955,CLASS
dgroup,DG00095,dgroup,DG02068,CLASS
dgroup,DG00096,drug,D08610,MEMBER
dgroup,DG00096,drug,D06171,MEMBER
dgroup,DG00096,dgroup,DG01955,CLASS
dgroup,DG00096,dgroup,DG02068,CLASS
dgroup,DG00097,drug,D07495,MEMBER
dgroup,DG00097,drug,D00689,MEMBER
