entry_id,name,type,class,member_count,member_ids,atc_codes,comment
DG01944,Todralazine,Chemical,Cardiovascular agent DG02046  Hydrazinophthalazine derivative,3,D08613;D01951;D05034,,
DG01945,Bile acid sequestrant,Target,Hypolipidemic agent DG01946  Hypolipidemic agent,8,D02690;D07771;D02113;D07744;D07745;D07743;D03582;D01934,,
DG01946,Hypolipidemic agent,Class,Hypolipidemic agent,77,D00434;D00359;D08410;D00893;D07983;D00892;D07474;D00887;D02258;D11095;D07661;D00889;D08492;D01915;D01862;D10568;D11092;D03601;D03643;D03816;D02690;D07771;D02113;D07744;D07745;D07743;D03582;D01934;D10557;D10335;D11931;D12293;D10621;D11398;D00279;D01208;D07724;D01366;D00334;D00565;D08890;D01212;D07186;D03521;D07187;D07188;D01300;D10711;D06102;D07529;D04411;D04736;D04737;D05102;D06133;D06209;D07723;D01754;D00476;D05255;D01966;D09637;D09638;D10691;D10385;D08488;D04267;D01234;D01530;D01913;D03343;D01291;D01892;D04268;D01221;D11520;D12438,,
DG01947,"Anti-inflammatory drug, pyrazolone",Structure,Anti-inflammatory DG01504  Nonsteroidal anti-inflammatory drug (NSAID),19,D00510;D08363;D08364;D07262;D08324;D05319;D07263;D01567;D01305;D01289;D05451;D08630;D01776;D08190;D01762;D00556;D01380;D01437;D01706,,
DG01948,Gilteritinib,Chemical,Antineoplastic DG01918  Tyrosine kinase inhibitor DG01917  Receptor tyrosine kinase inhibitor Metabolizing enzyme substrate DG01633  CYP3A/CYP3A4 substrate DG02913  CYP3A4 substrate Transporter substrate DG01665  ABCB1 substrate,2,D10709;D10800,L01EX13,
DG01949,"Anti-inflammatory drug, phenylbutazones",Structure,"Anti-inflammatory DG01504  Nonsteroidal anti-inflammatory drug (NSAID) DG01947  Anti-inflammatory drug, pyrazolone",12,D00510;D08363;D08364;D07262;D08324;D05319;D07263;D01567;D01305;D01289;D05451;D08630,,
DG01950,Antithrombotic agent Anticoagulant,Class,Blood modifier agent,149,D03798;D05457;D07064;D07131;D07137;D09807;D08682;D00564;D01280;D09676;D09677;D08354;D07135;D07136;D07969;D03164;D07457;D07139;D07736;D07510;D02112;D04427;D03674;D04977;D02980;D03337;D03353;D03673;D06398;D06571;D03644;D08547;D04799;D08536;D07729;D00769;D10823;D10824;D08594;D01028;D05597;D01220;D08327;D01683;D01684;D03661;D03663;D04276;D05502;D05727;D07138;D07140;D00109;D05181;D07579;D07580;D07581;D07582;D00302;D03385;D00106;D01337;D07141;D02721;D08065;D02778;D07421;D06888;D08607;D01029;D07142;D02720;D01551;D06213;D08628;D10430;D12005;D01896;D09017;D03359;D03361;D09765;D09766;D09994;D11160;D01810;D02722;D02860;D08508;D01624;D01892;D02837;D02947;D05721;D06070;D05412;D05410;D08256;D03695;D04665;D09814;D09823;D08609;D03341;D06270;D09206;D03324;D05123;D06879;D07422;D03157;D02938;D03918;D06142;D03692;D06880;D00181;D07143;D01981;D03136;D11280;D09707;D07144;D07082;D03722;D03728;D07086;D03213;D09710;D09546;D11568;D08873;D01844;D11029;D04029;D04183;D08858;D08913;D09817;D09923;D10471;D03352;D08004;D01672;D08240;D01670;D06410;D08795;D12446,,
DG01951,Catecholamine adrenergic receptor agonist,"Structure, Target, Class",Cardiovascular agent,38,D08090;D01390;D02066;D02150;D00076;D05206;D08284;D09794;D03879;D00632;D03880;D03881;D03891;D03892;D02976;D00095;D00996;D02149;D08205;D00405;D05730;D08039;D02396;D04625;D02093;D04626;D07534;D00684;D02774;D07560;D02349;D01017;D02614;D05688;D05689;D02388;D03587;D04708,,
DG01952,Vasopressin analog,Structure,Cardiovascular agent,10,D00101;D09820;D02983;D00291;D02235;D00366;D06672;D08571;D07227;D04137,H01BA,
DG01953,Thyroid preparation,Class,Hormonal agent,11,D07214;D08125;D01010;D11113;D08128;D01011;D08129;D06482;D01012;D00361;D09381,,
