entry_id,name,formula,mol_weight,atc_codes,dgroup_id,compound_id,therapeutic_category,efficacy,cas,pubchem,chebi
D02436,Sulfamethazine (USP); Sulfadimidine (INN); Sulfamezathine (TN),C12H14N4O2S,278.3302,J01EB03,DG00597,C19530,,"Antibacterial, Folic acid biosynthesis inhibitor",57-68-1,7849494,102265
D02437,Sulfaguanidine (INN),C7H10N4O2S,214.2449,A07AB03,,,,"Antibacterial, Folic acid biosynthesis inhibitor",57-67-0,7849495,
D02438,Xyloylsulfamine,C15H16N2O3S,304.3641,,,,,Antibacterial,120-34-3,7849496,
D02439,Sulfamethoxypyridazine (INN); Lederkyn (TN),C11H12N4O3S,280.303,J01ED05,DG00601,,,"Antibacterial, Folic acid biosynthesis inhibitor",80-35-3,7849497,102516
D02440,Phthalylsulfathiazole (INN),C17H13N3O5S2,403.4322,A07AB02,,C07659,,"Antibacterial, Folic acid biosynthesis inhibitor",85-73-4,7849498,9336
D02441,Ethoxzolamide; Cardrase (TN),C9H10N2O3S2,258.3173,,,,,"Antiglaucoma, Diuretic, Carbonic anhydrase inhibitor",452-35-7,7849499,101096
D02442,Cyclamic acid (USAN); Hexamic acid (TN),C6H13NO3S,179.2373,,DG02871,C02824,,Sweetener (non-nutritive),100-88-9,7849500,15964
D02443,Sodium cyclamate (INN),C6H12NO3S. Na,201.2191,,DG02871,C19378,,Sweetener (non-nutritive),139-05-9,7849501,82431
D02444,Calcium cyclamate,(C6H12NO3S)2. Ca,396.5368,,DG02871,,,Sweetener (non-nutritive),139-06-0,7849502,
D02445,Tosylchloramide sodium (INN); Chloramine T,C7H7ClNO2S. Na,227.6437,D08AX04,,,,Disinfectant,127-65-1,7849503,53767
D02446,Halazone (USP/INN),C7H5Cl2NO4S,270.0899,,,,,Disinfectant,80-13-7,7849504,
D02447,Succinylsulfathiazole; Succinylsulfathiazole monohydrate; Sulfasuxidine (TN),C13H13N3O5S2. H2O,373.4047,A07AB04,DG00088,,,"Antibacterial, Folic acid biosynthesis inhibitor",6101-17-3,7849505,
D02448,Pyrimethamine and sulfadoxine; Fansidar (TN),C12H14N4O4S. C12H13ClN4,559.0404,P01BD51,,,,Antimalarial,37338-39-9,17396656,
D02449,Sulfaethidole (INN); Sul-Spansion (TN),C10H12N4O2S2,284.3579,,,,,Antibacterial,94-19-9,7849506,
D02450,Sulfametomidine (JAN); Sulfametomidine monohydrate,C12H14N4O3S. H2O,312.3448,J01ED03,,,,Antibacterial,,7849507,32163
D02451,Fadrozole hydrochloride (USAN),C14H13N3. HCl,259.7341,,DG01292,,,"Antineoplastic, Estrogen biosynthesis inhibitor",102676-31-3,7849508,31589
D02452,Benexate hydrochloride betadex (JAN); Ulgut (TN),C42H70O35. C23H27N3O4. HCl,1580.9233,,DG01877,,2329,Anti-ulcerative,91574-91-3,7849509,
D02453,Flumethiazide (INN); Ademol (TN),C8H6F3N3O4S2,329.2761,,,,,"Antihypertensive, Na+-Cl- symport inhibitor",148-56-1,7849510,
