gene_symbol,ko_id,variant_entry_count,variant_phenotypes,linked_disease_count,linked_disease_names,linked_drug_target_count,linked_drug_target_names,linked_network_count
ESCO2,K11268,1,ESCO2 mutation,2,Roberts-SC phocomelia syndrome; Juberg-Hayward syndrome,0,,0
EVC,K19605,1,EVC mutation,2,Ellis-van Creveld syndrome; Weyers acrofacial dysostosis,0,,0
EVC2,K19608,1,EVC2 mutation,2,Ellis-van Creveld syndrome; Weyers acrofacial dysostosis,0,,0
F12,K01328,1,F12 mutation,2,Factor XII deficiency; Hereditary angioedema,0,,0
F13A1,K03917,1,F13A1 mutation,2,Factor XIII deficiency; Myocardial infarction,0,,0
F7,K01320,1,F7 mutation,2,Myocardial infarction; Factor VII deficiency,0,,0
F9,K01321,1,F9 mutation,2,Hemophilia; Inherited thrombophilia,0,,0
FANCM,K10896,1,FANCM mutation,2,Fanconi anemia; Premature ovarian failure,0,,0
FBN1,K06825,1,FBN1 mutation,2,Marfan syndrome; Geleophysic dysplasia,0,,0
FGA,K03903,1,FGA mutation,2,Afibrinogenemia; Familial amyloidosis,0,,0
FZD7,K02432,1,FZD7 overexpression,2,Breast cancer; Hepatocellular carcinoma,0,,0
GBA1,K01201,1,GBA deficiency,2,Gaucher disease; Sphingolipidosis,4,Alglucerase (JAN/USAN/INN); Imiglucerase (USAN/INN); Velaglucerase alfa (USAN); Taliglucerase alfa (USAN/INN),0
GCH1,K01495,1,GCH1 deficiency,2,Phenylketonuria; Dopa-responsive dystonia,0,,0
GLI1,K16797,1,GLI1 mutation,2,Postaxial polydactyly; Preaxial polydactyly,0,,0
GSS,K21456,1,GSS deficiency,2,Anemia due to disorders of glutathione metabolism; Glutathione synthetase deficiency,0,,0
IHH,K11989,1,IHH mutation,2,Brachydactyly; Acrocapitofemoral dysplasia,0,,0
IL2RG,K05070,1,IL2RG mutation,2,T-B+Severe combined immunodeficiency; Combined immunodeficiency,0,,0
JAG1,K06052,1,JAG1 mutation,2,Tetralogy of Fallot; Alagille syndrome,0,,0
LARGE1,K09668,1,LARGE1 deficiency,2,Muscular dystrophy-dystroglycanopathy type A; Muscular dystrophy-dystroglycanopathy type B,0,,0
LRP4,K20051,1,LRP4 mutation,2,Sclerosteosis; Cenani-Lenz syndactyly syndrome,0,,0
LTBP3,K08023,1,LTBP3 mutation,2,Tooth agenesis; Geleophysic dysplasia,0,,0
MAP2K1,K04368,1,MAP2K1 mutation,2,Cardiofaciocutaneous syndrome; Melorheostosis,0,,0
MEFV,K12803,1,MEFV mutation,2,Familial Mediterranean fever; Acute febrile neutrophilic dermatosis,0,,0
MLH1,K08734,1,MLH1 mutation,2,Hereditary nonpolyposis colorectal cancer; Muir-Torre syndrome,0,,0
MPL,K05082,1,MPL mutation,2,Myelofibrosis; Essential thrombocythemia,0,,0
MTOR,K07203,1,mTOR mutation,2,Focal cortical dysplasia of Taylor; Smith-Kingsmore syndrome,0,,0
MUTYH,K03575,1,MUTYH mutation,2,Gastric cancer; Familial adenomatous polyposis,0,,0
NAGS,K11067,1,NAGS deficiency,2,N-acetylglutamate synthase deficiency; Primary hyperammonemia (Urea cycle disorders),0,,0
NBN,K10867,1,NBN mutation,2,Aplastic anemia; Nijmegen breakage syndrome,0,,0
NDE1,K16738,1,NDE1 mutation,2,Lissencephaly; Microhydranencephaly,0,,0
NLRC4,K12805,1,NLRC4 mutation,2,NLRC4 inflammasomopathy; Familial cold autoinflammatory syndrome,0,,0
NLRP1,K12798,1,NLRP1 mutation,2,Vitiligo; NLRP1-associated autoinflammation with arthritis and dyskeratosis,0,,0
NOD2,K10165,1,NOD2 mutation,2,Blau syndrome; Inflammatory bowel disease (IBD),0,,0
NOTCH2,K20994,1,NOTCH2 mutation,2,Alagille syndrome; Hajdu-Cheney syndrome,0,,0
NSDHL,K07748,1,NSDHL deficiency,2,Congenital hemidysplasia with ichthyosiform nevus and limb defects (CHILD); CK syndrome,0,,0
PARN,K01148,1,PARN mutation,2,"Dyskeratosis congenita; Pulmonary fibrosis and/or bone marrow failure, telomere-related",0,,0
PHGDH,K00058,1,PHGDH deficiency,2,3-Phosphoglycerate dehydrogenase (3-PGDH) deficiency; Neu-Laxova syndrome,0,,0
PLG,K01315,1,PLG mutation,2,Hereditary angioedema; Plasminogen deficiency,0,,0
POLA1,K02320,1,POLA1 mutation,2,X-linked syndromic intellectual developmental disorder; X-linked reticulate pigmentary disorder with systemic manifestations,0,,0
POLD1,K02327,1,POLD1 mutation,2,MDPL syndrome; Polymerase proofreading-associated polyposis,0,,0
POLG2,K02333,1,POLG2 mutation,2,Mitochondrial DNA depletion syndrome; Progressive external ophthalmoplegia,0,,0
POMK,K17547,1,POMK deficiency,2,Muscular dystrophy-dystroglycanopathy type A; Muscular dystrophy-dystroglycanopathy type C,0,,0
POT1,K11109,1,POT1 mutation,2,Melanoma; Glioma,0,,0
PPP2R1A,K03456,1,PPP2R1A mutation,2,Autosomal dominant intellectual developmental disorder; PP2A-related neurodevelopmental disorder,0,,0
PPP2R1B,K03456,1,PPP2R1B mutation,2,Small cell lung cancer; Non-small cell lung cancer,0,,0
PPP2R5D,K11584,1,PPP2R5D mutation,2,Autosomal dominant intellectual developmental disorder; PP2A-related neurodevelopmental disorder,0,,0
PRKACA,K04345,1,PRKACA mutation,2,Cushing syndrome; Bilateral macronodular adrenal hyperplasia,0,,0
PSAT1,K00831,1,PSAT1 deficiency,2,Phosphoserine aminotransferase deficiency; Neu-Laxova syndrome,0,,0
PSEN1,K04505,1,PSEN1 mutation,2,Alzheimer disease; Acne inversa,0,,0
RAD51,K04482,1,RAD51 mutation,2,Breast cancer; Fanconi anemia,0,,0
RAD51C,K10870,1,RAD51C mutation,2,Fanconi anemia; Familial breast-ovarian cancer,0,,0
RAD54L,K10875,1,RAD54L mutation,2,Breast cancer; Non-Hodgkin lymphoma,0,,0
RAF1,K04366,1,RAF1 mutation,2,Noonan syndrome; Leopard syndrome,0,,0
RAG2,K10988,1,RAG2 mutation,2,T-B-Severe combined immunodeficiency; Omenn syndrome,0,,0
RASA1,K04352,1,RASA1 mutation,2,Parkes Weber syndrome; Capillary malformation-arteriovenous malformation,0,,0
RASD1,K07843,1,RASD1 mutation,2,Pituitary adenomas; Cushing syndrome,0,,0
RIPK1,K02861,1,RIPK1 mutation,2,Disorders of innate immunity; Autoinflammation with episodic fever and lymphadenopathy,0,,0
ROR2,K05123,1,ROR2 mutation,2,Brachydactyly; Robinow syndrome,0,,0
RTEL1,K11136,1,RTEL1 mutation,2,"Dyskeratosis congenita; Pulmonary fibrosis and/or bone marrow failure, telomere-related",0,,0
SAMHD1,K22544,1,SAMHD1 mutation,2,Aicardi-Goutieres syndrome; Familial chilblain lupus (FCL),0,,0
SERPINA1,K03984,1,SERPINA1 mutation,2,Alpha-1-antitrypsin deficiency; Chronic obstructive pulmonary disease (COPD),0,,0
SERPINC1,K03911,1,SERPINC1 mutation,2,Inherited thrombophilia; Antithrombin III deficiency,0,,0
SERPING1,K04001,1,SERPING1 mutation,2,Complement regulatory protein defects; Hereditary angioedema,0,,0
SMC1A,K06636,1,SMC1 mutation,2,Early infantile epileptic encephalopathy; Cornelia de Lange syndrome,0,,0
SOS1,K03099,1,SOS1 mutation,2,Hereditary gingival fibromatosis; Noonan syndrome,0,,0
SOST,K16834,1,SOST mutation,2,Sclerosteosis; Craniodiaphyseal dysplasia,0,,0
STAG2,K06671,1,STAG2 mutation,2,Holoprosencephaly; Mullegama-Klein-Martinez syndrome,0,,0
STAT1,K11220,1,STAT1 mutation,2,IFN-gamma/IL-12 axis; Chronic mucocutaneous candidiasis,0,,0
STAT2,K11221,1,STAT2 mutation,2,Pseudo-TORCH syndrome; Disorders of innate immunity,0,,0
STAT3,K04692,1,STAT3 mutation,2,Hyper-IgE syndrome; Infantile-onset multisystem autoimmune disease,0,,0
SUFU,K06229,1,SUFU mutation,2,Joubert syndrome and related disorders; Basal cell nevus syndrome,0,,0
TBK1,K05410,1,TBK1 mutation,2,Amyotrophic lateral sclerosis (ALS); Infection-induced acute encephalopathy,0,,0
TGFA,K08774,1,TGFA overexpression,2,Colorectal cancer; Hepatocellular carcinoma,0,,0
TLR2,K10159,1,TLR2 mutation,2,Tuberculosis; Leprosy,0,,0
TLR5,K10168,1,TLR5 mutation,2,Legionellosis; Melioidosis,0,,0
TLR7,K05404,1,TLR7 mutation,2,Systemic lupus erythematosus; Defects of toll-like receptor signaling,0,,0
TNFRSF1A,K03158,1,TNFRSF1A mutation,2,Tumor necrosis factor receptor-associated periodic syndrome; Multiple sclerosis,0,,0
TOP3A,K03165,1,TOP3A mutation,2,"Autosomal recessive progressive external ophthalmoplegia; Microcephaly, growth restriction, and increased sister chromatid exchange",0,,0
TPH2,K00502,1,TPH2 mutation,2,Major depressive disorder; Attention deficit hyperactivity disorder (ADHD),0,,0
TUBB,K07375,1,TUBB mutation,2,Congenital symmetric circumferential skin creases; Complex cortical dysplasia with other brain malformations,0,,0
TUBB3,K07375,1,TUBB3 mutation,2,Congenital fibrosis of the extraocular muscles; Complex cortical dysplasia with other brain malformations,0,,0
TUBB4A,K07375,1,TUBB4A mutation,2,Hypomyelinating leukodystrophy; Primary dystonia,0,,0
USP8,K11839,1,USP8 mutation,2,Pituitary adenomas; Cushing syndrome,0,,0
VWF,K03900,1,VWF mutation,2,Hemophilia; von Willebrand disease,0,,0
WNT1,K03209,1,WNT1 mutation,2,Osteogenesis imperfecta; Osteoporosis,0,,0
WNT10B,K01357,1,WNT10B mutation,2,Split-hand/foot malformation; Tooth agenesis,0,,0
WNT7A,K00572,1,WNT7A mutation,2,Fuhrmann syndrome; Al-Awadi/Raas-Rothschild syndrome,0,,0
