variant_id,gene_symbol,gene_description,ko_id
2516v1,NR5A1,nuclear receptor subfamily 5 group A member 1,K08560
2521v1,FUS,FUS RNA binding protein,K13098
2535v1,FZD2,frizzled class receptor 2,K02235
2538v1,G6PC1,glucose-6-phosphatase catalytic subunit 1,K01084
2539v1,G6PD,glucose-6-phosphate dehydrogenase,K00036
2542v1,SLC37A4,solute carrier family 37 member 4,K08171
254394v1,MCM9,minichromosome maintenance 9 homologous recombination repair factor,K10738
2548v1,GAA,alpha glucosidase,K12316
255738v1,PCSK9,proprotein convertase subtilisin/kexin type 9,K13050
25788v1,RAD54B,RAD54 homolog B,K10877
2581v1,GALC,galactosylceramidase,K01202
2582v1,GALE,UDP-galactose-4-epimerase,K01784
25836v1,NIPBL,NIPBL cohesin loading factor,K06672
2584v1,GALK1,galactokinase 1,K00849
2588v1,GALNS,galactosamine (N-acetyl)-6-sulfatase,K01132
25913v1,POT1,protection of telomeres 1,K11109
2592v1,GALT,galactose-1-phosphate uridylyltransferase,K00965
25939v1,SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,K22544
2593v1,GAMT,guanidinoacetate N-methyltransferase,K00542
25v1,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",K06619
25v2,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",K06619
26119v1,LDLRAP1,low density lipoprotein receptor adaptor protein 1,K12474
26227v1,PHGDH,phosphoglycerate dehydrogenase,K00058
26229v1,B3GAT3,"beta-1,3-glucuronyltransferase 3",K10158
26275v1,HIBCH,3-hydroxyisobutyryl-CoA hydrolase,K05605
26277v1,TINF2,TERF1 interacting nuclear factor 2,K11112
2628v1,GATM,glycine amidinotransferase,K00613
2629v1,GBA1,glucosylceramidase beta 1,K01201
2632v1,GBE1,"1,4-alpha-glucan branching enzyme 1",K00700
2643v1,GCH1,GTP cyclohydrolase 1,K01495
2653v1,GCSH,glycine cleavage system protein H,K02437
2658v1,GDF2,growth differentiation factor 2,K05503
2660v1,MSTN,myostatin,K05497
2683v1,B4GALT1,"beta-1,4-galactosyltransferase 1",K07966
26873v1,OPLAH,"5-oxoprolinase, ATP-hydrolysing",K01469
2688v1,GH1,growth hormone 1,K05438
268v1,AMH,anti-Mullerian hormone,K04665
2690v1,GHR,growth hormone receptor,K05080
2692v1,GHRHR,growth hormone releasing hormone receptor,K04584
269v1,AMHR2,anti-Mullerian hormone receptor type 2,K04672
27030v1,MLH3,mutL homolog 3,K08739
27034v1,ACAD8,acyl-CoA dehydrogenase family member 8,K11538
2717v1,GLA,galactosidase alpha,K01189
2717v2,GLA,galactosidase alpha,K01189
2720v1,GLB1,galactosidase beta 1,K12309
27229v1,TUBGCP4,tubulin gamma complex associated protein 4,K16571
2729v1,GCLC,glutamate-cysteine ligase catalytic subunit,K11204
2731v1,GLDC,glycine decarboxylase,K00281
2733v1,GLE1,GLE1 RNA export mediator,K18723
2735v1,GLI1,GLI family zinc finger 1,K16797
2736v1,GLI2,GLI family zinc finger 2,K16798
2737v1,GLI3,GLI family zinc finger 3,K06230
275v1,AMT,aminomethyltransferase,K00605
