gene_symbol,gene_description,ko_id,variant_entry_count
MOCOS,molybdenum cofactor sulfurase,K15631,1
MOCS1,molybdenum cofactor synthesis 1,K20967,1
MOCS2,molybdenum cofactor synthesis 2,K03635,1
MOGS,mannosyl-oligosaccharide glucosidase,K01228,1
MPI,mannose phosphate isomerase,K01809,1
MPL,"MPL proto-oncogene, thrombopoietin receptor",K05082,1
MRAP,melanocortin 2 receptor accessory protein,K22398,1
MRAS,muscle RAS oncogene homolog,K07831,1
MRE11,"MRE11 homolog, double strand break repair nuclease",K10865,1
MSH2,mutS homolog 2,K08735,1
MSH3,mutS homolog 3,K08736,1
MSH6,mutS homolog 6,K08737,1
MSMO1,methylsterol monooxygenase 1,K07750,1
MSTN,myostatin,K05497,1
MTOR,mechanistic target of rapamycin kinase,K07203,1
MUTYH,mutY DNA glycosylase,K03575,1
MVD,mevalonate diphosphate decarboxylase,K01597,1
MVK,mevalonate kinase,K00869,1
MYC,"MYC proto-oncogene, bHLH transcription factor",K04377,1
MYCN,"MYCN proto-oncogene, bHLH transcription factor",K09109,1
NAGLU,N-acetyl-alpha-glucosaminidase,K01205,1
NAGS,N-acetylglutamate synthase,K11067,1
NAT1,N-acetyltransferase 1,K00622,1
NAT2,N-acetyltransferase 2,K00622,1
NBN,nibrin,K10867,1
NCAPD2,non-SMC condensin I complex subunit D2,K06677,1
